Age,Tenure,Balance,EstimatedSalary,Gender_Female,Gender_Male,Geography_France,Geography_Spain,Geography_Germany,CreditScoreBins,NumOfProducts,HasCrCard,IsActiveMember,Exited
0.4284327475629182,-1.0415259095933718,-1.2257042068932176,0.021851920191936904,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1
0.3323167346416166,-1.3872941038250106,0.11733050634440705,0.21647376736610976,1.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0
0.4284327475629182,1.0330832557964618,1.3328863208125337,0.2406237624085404,1.0,0.0,1.0,0.0,0.0,3.0,3,1,0,1
0.12403823095719851,-1.3872941038250106,-1.2257042068932176,-0.10893541463979185,1.0,0.0,1.0,0.0,0.0,2.0,2,0,0,0
0.5223390000411375,-1.0415259095933718,0.7856272857247676,-0.36525981324084955,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0
0.6141348199849749,1.0330832557964618,0.5972508401801991,0.8635058230384792,0.0,1.0,0.0,0.0,1.0,1.0,2,1,0,1
1.1253939768027308,0.6873150615648229,-1.2257042068932176,-1.5653145672866737,0.0,1.0,1.0,0.0,0.0,0.0,2,1,1,0
-1.0420855688444848,-0.3499895211300939,0.617938686086314,0.33477829890860467,1.0,0.0,0.0,1.0,0.0,3.0,4,1,0,1
0.6141348199849749,-0.3499895211300939,1.050687506993138,-0.43730347047223006,0.0,1.0,1.0,0.0,0.0,3.0,2,0,1,0
-1.3239036541878413,-1.0415259095933718,0.9313450648155654,-0.49319781064930435,0.0,1.0,1.0,0.0,0.0,2.0,1,1,1,0
-0.7784623558097603,0.34154686733318396,0.4091304767586863,-0.34618622195405346,0.0,1.0,1.0,0.0,0.0,3.0,2,0,0,0
-1.78682210386767,-0.6957577153617328,-1.2257042068932176,-0.4121012304892544,0.0,1.0,0.0,0.0,1.0,3.0,2,1,0,0
-0.41241980038157033,1.7246196442597397,-1.2257042068932176,-1.2836811741762864,1.0,0.0,1.0,0.0,0.0,3.0,2,1,0,0
